nid,uid,calendar_status,available_days_30,available_days_60,available_days_90,available_days_180,available_days_365,note
66065.0,144646.0,blocked,14.0,44.0,74.0,164.0,316.0,
66978.0,111413.0,open,0.0,0.0,0.0,0.0,0.0,
66999.0,2741.0,open,0.0,0.0,0.0,0.0,0.0,
67006.0,2741.0,open,0.0,0.0,0.0,0.0,0.0,
67008.0,2741.0,blocked,0.0,30.0,60.0,150.0,335.0,
67515.0,156026.0,blocked,0.0,0.0,0.0,0.0,0.0,
67518.0,156026.0,open,0.0,2.0,4.0,4.0,4.0,
67694.0,3161.0,blocked,0.0,0.0,0.0,0.0,0.0,
67703.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
67711.0,3161.0,open,0.0,0.0,0.0,3.0,3.0,
67818.0,144617.0,blocked,0.0,0.0,0.0,0.0,0.0,
67828.0,144617.0,open,4.0,4.0,4.0,4.0,4.0,
67830.0,144617.0,open,0.0,0.0,0.0,0.0,0.0,
67841.0,144617.0,blocked,0.0,0.0,0.0,0.0,0.0,
67884.0,144617.0,blocked,1.0,1.0,1.0,1.0,1.0,
67930.0,144617.0,blocked,0.0,0.0,0.0,0.0,0.0,
67952.0,144617.0,blocked,0.0,0.0,0.0,0.0,0.0,
67955.0,144617.0,blocked,0.0,0.0,0.0,0.0,0.0,
67956.0,144617.0,blocked,1.0,1.0,1.0,1.0,1.0,
68003.0,144617.0,blocked,12.0,35.0,45.0,132.0,132.0,
68004.0,144617.0,blocked,20.0,50.0,68.0,142.0,142.0,
68005.0,144617.0,blocked,6.0,8.0,32.0,103.0,103.0,
68021.0,160549.0,open,0.0,0.0,0.0,0.0,0.0,
68049.0,160549.0,open,0.0,7.0,7.0,7.0,7.0,
69106.0,144635.0,open,0.0,0.0,0.0,0.0,0.0,
69300.0,86331.0,open,0.0,0.0,0.0,0.0,0.0,
69331.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
69334.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
69335.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
69337.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
69338.0,123710.0,open,0.0,0.0,0.0,0.0,0.0,
69362.0,129588.0,blocked,0.0,0.0,0.0,0.0,0.0,
69379.0,128656.0,blocked,0.0,0.0,0.0,0.0,0.0,
69707.0,124954.0,blocked,8.0,8.0,10.0,10.0,128.0,
69725.0,86331.0,open,0.0,0.0,0.0,0.0,0.0,
69920.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
69937.0,7454.0,blocked,0.0,0.0,0.0,2.0,2.0,
69949.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
69950.0,7454.0,blocked,0.0,0.0,0.0,0.0,0.0,
69968.0,278831.0,blocked,0.0,0.0,0.0,0.0,0.0,
69977.0,146266.0,blocked,0.0,0.0,0.0,0.0,0.0,
70160.0,167542.0,blocked,0.0,0.0,0.0,0.0,0.0,
70175.0,167542.0,blocked,0.0,0.0,0.0,0.0,0.0,
